id_bahan,nama,satuan,serving_size,kalori,protein,lemak,karbo
B1,singkong putih,gr,100,156.1,1.4,0.3,37.8
B10,bawang putih,siung,0,0,0,0,0
B100,beras,gr,100,127.4,2.7,0.3,28.4
B101,ubi putih,gr,100,77.5,1.4,0.1,17.5
B102,sawi hijau,lembar,1,11,0.2,0.02,2.5
B103,pasta vanila,sdt,0,0,0,0,0
B104,agar-agar bubuk,bungkus,1,20,0,0,8
B105,kurma,buah,1,22.12,0.2,0.03,6
B106,bawang goreng,gr,0,0,0,0,0
B107,melon,gr,100,33.6,0.8,0.2,8.3
B108,soun,gr,50,180,0,0,44
B109,toge,gr,100,23,4,0.7,2.1
B11,jeruk,gr,100,50.4,0.9,0.1,12.4
B110,serai,batang,0,0,0,0,0
B111,ikan nila,gr,100,126.6,26,2.7,0
B112,kacang merah,gr,177,225,15,1,40
B113,bawang merah goreng,gr,0,0,0,0,0
B114,bawang putih goreng,gr,0,0,0,0,0
B115,minyak wijen,sdt,0,0,0,0,0
B116,tepung serbaguna,sdm,1,36.45,1.03,0.1,7.64
B117,tepung roti,gr,100,391.7,13.2,5.4,73.1
B118,tepung beras,gr,100,362.9,6,1.4,80.9
B119,gula jawa,ml,0,0,0,0,0
B12,nasi putih,sdm,1,30,0.6,0.07,7
B120,jamur kancing,gr,100,28,2.1,0.5,5.3
B121,saus tiram,sdt,0,0,0,0,0
B122,lada bubuk,sdt,0,0,0,0,0
B123,oregano kering,sdt,0,0,0,0,0
B124,cooking cream,ml,200,337,2.1,24.9,2.9
B125,baby oatmeal,gr,100,69.6,2.5,1.5,11.8
B126,stroberi,buah,1,2,0.05,0.02,0.54
B127,mentega,gr,100,721.5,0.8,79.6,0.1
B128,kiwi,buah,1,46,0.87,0.4,11.14
B129,butter,gr,100,721.5,0.8,79.6,0.1
B13,tahu,gr,100,78,7.97,4.95,2.1
B130,spagetti,gr,100,157,5.76,0.92,30.68
B131,edamame,gr,100,81,8.47,4.45,6.53
B132,yoghurt plain,sdm,1,107,4.7,1.47,19.62
B133,teri,gr,100,210,28.89,9.71,0
B134,jamur,gr,100,28,2.1,0.5,5.3
B135,pepaya,gr,100,39,0.61,0.14,9.81
B136,kayu manis,gr,0,0,0,0,0
B137,jamur tiram,gr,100,35,3.34,0.44,6.43
B138,sawi,lembar,1,11,0.2,0.02,2.5
B139,ikan patin,gr,100,89,14.91,2.96,0
B14,labu siam,gr,100,17,0.82,0.13,3.9
B140,parsley,gr,0,0,0,0,0
B141,merica,sdt,0,0,0,0,0
B142,merica bubuk,gr,0,0,0,0,0
B143,kembang kol,gr,100,25,1.98,0.1,5.3
B144,kelapa tua,sdm,0,0,0,0,0
B145,air jahe,sdt,0,0,0,0,0
B146,jamur shitake,buah,1,19,1.51,0.21,3.35
B147,babat,gr,100,94,11.71,4.05,1.99
B148,usus muda,gr,,,,,
B149,sandung lamur,gr,100,288,26.33,19.54,0
B15,wortel,gr,100,41,0.93,0.24,9.58
B150,kaldu sapi,ml,240,7,0.84,0.19,0.8
B151,kapulaga,buah,0,0,0,0,0
B152,cengkeh,buah,0,0,0,0,0
B153,kucai,batang,0,0,0,0,0
B154,gula merah,gr,0,0,0,0,0
B155,perisa pandan,tetes,0,0,0,0,0
