id_resep,nama_resep,gambar,referensi,kategori,porsi,,,,
R1,Bubur Singkong Isi Ikan dan Ayam dengan Saus Jeruk,R1.jpg,https://ayosehat.kemkes.go.id/pub/files/d8a32723535961f3f2a6e44f0f8ba915.pdf,0,3,,,,
R2,Pure Ikan Ungu,R2.jpg,https://www.royco.co.id/r/puree-ikan-ungu.html/246671,0,3,,,,
R3,Ubi Tahu,R3.jpg,https://www.royco.co.id/r/ubi-tahu.html/246891,0,3,,,,
R4,Salmon Moringa,R4.jpg,https://www.royco.co.id/r/salmon-moringa.html/246667,0,3,,,,
R5,Sup Bayam Oyong,R5.jpg,https://www.royco.co.id/r/sup-bayam-oyong.html/246668,0,4,,,,
R6,Bubur Nasi Buncis,R6.jpg,https://www.royco.co.id/r/bubur-nasi-buncis.html/246889,0,6,,,,
R7,Bubur Hati Ayam,R7.jpg,https://www.royco.co.id/r/bubur-hati-ayam.html/245407,0,4,,,,
R8,Sup Labu Sapi,R8.jpg,https://www.royco.co.id/r/sup-labu-sapi.html/246681,0,3,,,"Note kategori:
-  0 : 6-8 bulan
-  1 : 9-11 bulan
-  2 : 12-23 bulan  ",
R9,Sup Nasi Bayam,R9.jpg,https://www.royco.co.id/r/sup-nasi-bayam.html/245405,0,6,,,,
R10,Sup Ubi Semur Sapi,R10.jpg,https://www.royco.co.id/r/sup-ubi-semur-sapi.html/246890,0,4,,,,
R11,Roti Isi Tuna Wijen,R11.jpg,https://www.royco.co.id/r/roti-isi-tuna-wijen.html/246898,1,4,,,,
R12,Onigiri Daun Kelor,R12.jpg,https://www.royco.co.id/r/onigiri-daun-kelor.html/245538,1,6,,,,
R13,Omelette Hati Ayam,R13.jpg,https://www.royco.co.id/r/omelette-hati-ayam.html/246897,1,3,,,Total resep,120
R14,Beef Schotel,R14.jpg,https://www.royco.co.id/r/beef-schotel.html/246894,1,6,,,resep 6-8 bulan,40
R15,Bola Ayam Ubi,R15.jpg,https://www.royco.co.id/r/bola-ayam-ubi.html/245289,1,11,,,resep 9-11 bulan,40
R16,Spinach Salmon Cheese,R16.jpg,https://www.royco.co.id/r/spinach-salmon-cheese.html/246895,1,4,,,resep 12-23 bulan,40
R17,Roasted Stuff Wings,R17.jpg,https://www.royco.co.id/r/roasted-stuff-wings.html/246893,1,6,,,,
R18,Puree Ikan Ungu,R18.jpg,https://www.royco.co.id/r/puree-ikan-ungu.html/246671,1,3,,,,
R19,Tim Tahu Udang,R19.jpg,https://www.royco.co.id/r/tim-tahu-udang.html/245540,1,12,,,Rekap resep 1-50,
R20,Perkedel Ubi Merah,R20.jpg,https://www.royco.co.id/r/perkedel-ubi-merah.html/246896,1,6,,,resep 6-8 bulan,29
R21,Pakchoi Baby Pasta,R21.jpg,https://www.royco.co.id/r/pakchoi-baby-pasta.html/245290,2,4,,,resep 9-11 bulan,10
R22,Puree Kentang Susu,R22.jpg,https://www.haibunda.com/parenting/20230728213253-59-311962/30-resep-menu-mpasi-6-bulan-mudah-dibuat-bergizi-terbaik-disukai-anak,0,1,,,resep 12-23 bulan,11
R23,Bubur Udang Tahu,R23.jpg,https://www.haibunda.com/parenting/20230728213253-59-311962/30-resep-menu-mpasi-6-bulan-mudah-dibuat-bergizi-terbaik-disukai-anak,0,1,,,,
R24,Puree Kacang Ijo,R24.jpg,https://www.haibunda.com/parenting/20230728213253-59-311962/30-resep-menu-mpasi-6-bulan-mudah-dibuat-bergizi-terbaik-disukai-anak,0,1,,,,
R25,Bubur Soto Ayam Santan,R25.jpg,https://ayosehat.kemkes.go.id/pub/files/d8a32723535961f3f2a6e44f0f8ba915.pdf,0,3,,,,
R26,Bubur Puyuh Hati Ayam,R26.jpg,https://www.haibunda.com/parenting/20230728213253-59-311962/30-resep-menu-mpasi-6-bulan-mudah-dibuat-bergizi-terbaik-disukai-anak,0,1,,,,
R27,Nugget Dori,R27.jpg,https://www.royco.co.id/r/nugget-dori.html/246920,2,4,,,,
R28,Mini Fritata,R28.jpg,https://www.royco.co.id/r/mini-fritata.html/246918,2,6,,,,
R29,Tahu Bakso Kuah,R29.jpg,https://www.royco.co.id/r/tahu-bakso-kuah.html/246917,2,6,,,,
R30,Nugget Bayam,R30.jpg,https://www.royco.co.id/r/nugget-bayam.html/245541,2,4,,,,
R31,Orek Bola Dori,R31.jpg,https://www.royco.co.id/r/orek-bola-dori.html/246915,2,4,,,,
R32,Pure Bayam Tomat,R32.jpg,https://www.haibunda.com/parenting/20230728213253-59-311962/30-resep-menu-mpasi-6-bulan-mudah-dibuat-bergizi-terbaik-disukai-anak,0,1,,,,
R33,Bubur Nasi Ayam Brokoli,R33.jpg,https://www.haibunda.com/parenting/20230728213253-59-311962/30-resep-menu-mpasi-6-bulan-mudah-dibuat-bergizi-terbaik-disukai-anak,0,1,,,,
R34,Kentang Salmon,R34.jpg,https://www.haibunda.com/parenting/20230728213253-59-311962/30-resep-menu-mpasi-6-bulan-mudah-dibuat-bergizi-terbaik-disukai-anak,0,1,,,,
R35,Tim Telur Tahu Sayur,R35.jpg,https://www.haibunda.com/parenting/20230728213253-59-311962/30-resep-menu-mpasi-6-bulan-mudah-dibuat-bergizi-terbaik-disukai-anak,0,1,,,,
R36,Tim Labu Kuning,R36.jpg,https://www.haibunda.com/parenting/20230728213253-59-311962/30-resep-menu-mpasi-6-bulan-mudah-dibuat-bergizi-terbaik-disukai-anak,0,1,,,,
R37,Pure Buah Naga,R37.jpg,https://www.haibunda.com/parenting/20230728213253-59-311962/30-resep-menu-mpasi-6-bulan-mudah-dibuat-bergizi-terbaik-disukai-anak,0,1,,,,
R38,Ayam Lemon Daun Kelor,R38.jpg,https://www.royco.co.id/r/ayam-lemon-daun-kelor.html/245542,2,4,,,,
R39,Puree Telur Rebus,R39.jpg,https://www.haibunda.com/parenting/20230728213253-59-311962/30-resep-menu-mpasi-6-bulan-mudah-dibuat-bergizi-terbaik-disukai-anak,0,1,,,,
R40,Tumis Sapi Jamur,R40.jpg,https://www.royco.co.id/r/tumis-sapi-jamur.html/246916,0,4,,,,
R41,Tinny Meatballs,R41.jpg,https://www.royco.co.id/r/tinny-meatballs.html/246899,2,4,,,,
R42,Ubi Mac N' Cheese,R42.jpg,https://www.royco.co.id/r/ubi-mac-n-cheese.html/246919,2,4,,,,
R43,Bubur ikan dori,R43.jpg,https://hellosehat.com/parenting/bayi/gizi-bayi/resep-mpasi-6-bulan/,0,3,,,,
R44,Bubur ubi ungu,R44.jpg,https://hellosehat.com/parenting/bayi/gizi-bayi/resep-mpasi-6-bulan/,0,3,,,,
R45,Bubur iga sapi,R45.jpg,https://hellosehat.com/parenting/bayi/gizi-bayi/resep-mpasi-6-bulan/,0,3,,,,
R46,Alpukat cheese cream,R46.jpg,https://hellosehat.com/parenting/bayi/gizi-bayi/resep-mpasi-6-bulan/,0,1,,,,
R47,Sop udang,R47.jpg,https://hellosehat.com/parenting/bayi/gizi-bayi/resep-mpasi-6-bulan/,0,3,,,,
R48,Ayam telur puyuh,R48.jpg,https://hellosehat.com/parenting/bayi/gizi-bayi/resep-mpasi-6-bulan/,0,3,,,,
R49,tempe tomato meat sauce,R49.jpg,https://www.popmama.com/baby/7-12-months/sarrah-ulfah/resep-mpasi-pilihan-untuk-bayi-12-bulan?page=all,2,3,,,,
R50,tuna saus bayam,R50.jpg,https://www.popmama.com/baby/7-12-months/sarrah-ulfah/resep-mpasi-pilihan-untuk-bayi-12-bulan?page=all,2,3,,,,
R51,bakso kuah kuning,R51.jpg,https://www.popmama.com/baby/7-12-months/sarrah-ulfah/resep-mpasi-pilihan-untuk-bayi-12-bulan?page=all,2,3,,,,
R52,chicken veggie risotto,R52.jpg,https://www.popmama.com/baby/7-12-months/sarrah-ulfah/resep-mpasi-pilihan-untuk-bayi-12-bulan?page=all,2,3,,,,
R53,nasi goreng sayur,R53.jpg,https://www.popmama.com/baby/7-12-months/sarrah-ulfah/resep-mpasi-pilihan-untuk-bayi-12-bulan?page=all,2,3,,,,
R54,tim brokoli ayam,R54.jpg,https://www.popmama.com/baby/7-12-months/sarrah-ulfah/resep-mpasi-pilihan-untuk-bayi-12-bulan?page=all,2,3,,,,
R55,sup makaroni tofu brokoli,R55.jpg,https://www.popmama.com/baby/7-12-months/sarrah-ulfah/resep-mpasi-pilihan-untuk-bayi-12-bulan?page=all,2,4,,,,
R56,Tim Kentang Daging Giling,R56.jpg,https://www.generasimaju.co.id/artikel/1-tahun/resep/mpasi-anak-1-tahun,2,3,,,,
R57,Tim Kentang Tenggiri Wortel,R57.jpg,https://www.generasimaju.co.id/artikel/1-tahun/resep/mpasi-anak-1-tahun,2,3,,,,
R58,Nasi Tim Ikan Kakap,R58.jpg,https://www.generasimaju.co.id/artikel/1-tahun/resep/mpasi-anak-1-tahun,2,3,,,,
R59,Nasi Tim Ubi Ayam Giling,R59.jpg,https://www.generasimaju.co.id/artikel/1-tahun/resep/mpasi-anak-1-tahun,2,3,,,,
R60,Tim Labu Ikan,R60.jpg,https://www.generasimaju.co.id/artikel/1-tahun/resep/mpasi-anak-1-tahun,2,3,,,,
R61,Puding susu vanila,R61.jpg,https://www.haibunda.com/parenting/20221124185109-59-290215/20-menu-mpasi-6-12-bulan-anti-gtm-pada-bayi-gampang-dibuat-bun,1,1,,,,
R62,Makaroni keju,R62.jpg,https://www.haibunda.com/parenting/20221124185109-59-290215/20-menu-mpasi-6-12-bulan-anti-gtm-pada-bayi-gampang-dibuat-bun,1,1,,,,
R63,Puree nasi kentang dan wortel,R63.jpg,https://www.popmama.com/baby/0-6-months/sarrah-ulfah/resep-mpasi-6-bulan?page=all,0,1,,,,
R64,Pure pisang kurma,R64.jpg,https://www.haibunda.com/parenting/20221124185109-59-290215/20-menu-mpasi-6-12-bulan-anti-gtm-pada-bayi-gampang-dibuat-bun,1,1,,,,
R65,Nasi Sup Telur Puyuh Bola Tahu Ayam,R65.jpg,https://www.sonora.id/read/424088737/5-resep-mpasi-usia-12-23-bulan-sesuai-dengan-pedoman-kemenkes-ri?page=all,2,3,,,,
